iter	Passed	Remaining
0	0	768
1	1	619
2	1	561
3	2	536
4	2	523
5	3	513
6	3	500
7	3	495
8	4	490
9	4	486
10	5	483
11	5	478
12	6	476
13	6	473
14	7	472
15	7	469
16	8	465
17	8	464
18	8	462
19	9	460
20	9	460
21	10	465
22	11	477
23	11	480
24	12	479
25	12	476
26	13	476
27	13	473
28	14	471
29	14	469
30	14	467
31	15	465
32	15	465
33	16	464
34	16	462
35	17	461
36	17	460
37	18	459
38	18	458
39	19	457
40	19	456
41	19	455
42	20	454
43	20	453
44	21	452
45	21	451
46	22	450
47	22	450
48	23	449
49	23	448
50	24	447
51	24	447
52	24	446
53	25	447
54	26	451
55	26	452
56	27	452
57	27	451
58	28	450
59	28	449
60	29	448
61	29	447
62	30	446
63	30	445
64	30	444
65	31	443
66	31	442
67	32	442
68	32	441
69	33	440
70	33	439
71	34	439
72	34	438
73	34	437
74	35	436
75	35	436
76	36	435
77	36	434
78	37	433
79	37	432
80	38	432
81	38	431
82	38	428
83	39	428
84	39	427
85	40	426
86	40	428
87	41	430
88	42	431
89	42	430
90	43	429
91	43	429
92	43	428
93	44	427
94	44	426
95	45	426
96	45	425
97	46	424
98	46	424
99	47	423
100	47	422
101	47	422
102	48	421
103	48	421
104	49	420
105	49	419
106	50	419
107	50	418
108	51	418
109	51	417
110	52	416
111	52	416
112	52	415
113	53	415
114	53	414
115	54	414
116	54	412
117	55	412
118	55	413
119	56	415
120	57	416
121	57	415
122	58	415
123	58	415
124	59	416
125	60	416
126	60	415
127	60	415
128	61	414
129	61	414
130	62	413
131	62	412
132	63	412
133	63	411
134	64	411
135	64	410
136	65	409
137	65	409
138	65	408
139	66	408
140	66	407
141	67	405
142	67	405
143	68	404
144	68	404
145	69	403
146	69	403
147	69	402
148	70	403
149	71	405
150	72	404
151	72	404
152	72	403
153	73	403
154	73	402
155	74	401
156	74	401
157	75	400
158	75	399
159	76	399
160	76	397
161	76	397
162	77	396
163	77	396
164	78	395
165	78	395
166	79	394
167	79	393
168	79	393
169	80	392
170	80	392
171	81	391
172	81	391
173	82	390
174	82	390
175	83	389
176	83	388
177	84	388
178	84	388
179	85	387
180	85	387
181	86	388
182	86	387
183	87	387
184	87	386
185	88	386
