iter	Passed	Remaining
0	0	860
1	1	890
2	2	861
3	3	857
4	4	904
5	5	879
6	6	857
7	6	862
8	7	851
9	8	825
10	8	802
11	9	780
12	10	760
13	10	743
14	13	916
15	15	931
16	17	987
17	17	962
18	18	938
19	18	916
20	19	897
21	19	879
22	20	862
23	20	847
24	21	836
25	22	824
26	22	812
27	23	801
28	23	790
29	24	780
30	24	771
31	25	762
32	25	755
33	29	846
34	30	851
35	31	848
36	32	843
37	33	838
38	33	834
39	34	829
40	35	825
41	36	821
42	37	836
43	38	834
44	39	831
45	39	826
46	40	820
47	41	813
48	41	806
49	45	872
50	46	868
51	47	864
52	48	861
53	48	854
54	49	852
55	50	850
56	51	844
57	51	837
58	52	840
59	53	837
60	54	831
61	54	825
62	55	819
63	55	813
64	56	808
65	56	802
66	60	838
67	61	845
68	62	842
69	62	836
70	63	837
71	64	833
72	65	831
73	66	828
74	66	825
75	67	823
76	68	821
77	69	825
78	70	824
79	71	819
80	71	814
81	75	846
82	76	846
83	77	844
84	78	841
85	78	836
86	79	838
87	81	841
88	81	835
89	82	831
90	82	826
91	83	828
92	84	824
93	85	820
94	85	816
95	86	811
96	86	805
97	86	799
98	87	795
99	89	803
100	89	800
101	90	800
102	91	797
103	92	793
104	92	787
105	92	783
106	93	780
107	94	776
108	94	773
109	95	769
110	95	765
111	96	762
112	96	759
113	97	755
114	97	752
115	98	748
116	98	745
117	99	742
118	99	739
119	104	762
120	104	760
121	105	759
122	106	756
123	106	752
124	107	749
125	107	746
126	108	743
127	108	740
128	109	737
129	109	734
130	110	731
131	110	729
132	111	726
133	111	723
134	112	721
135	113	718
136	113	716
137	114	713
138	114	710
139	115	708
140	119	727
141	120	726
142	121	726
143	121	724
144	122	722
145	122	718
146	123	715
147	123	713
148	124	710
149	125	708
150	125	705
151	126	703
152	126	700
153	127	698
154	127	695
155	128	693
156	128	691
157	129	689
158	129	686
159	130	684
160	134	698
161	134	697
162	135	695
163	136	693
164	136	691
165	137	689
166	137	686
167	138	684
168	138	682
169	139	679
170	139	677
171	140	675
172	140	672
173	141	670
174	141	667
175	142	665
176	142	663
177	143	661
178	143	659
179	144	657
180	144	655
181	145	653
182	145	651
183	149	663
184	150	662
185	150	660
186	151	659
187	152	657
188	152	655
189	153	653
190	153	650
191	154	648
192	154	646
193	155	644
194	155	642
195	156	640
196	156	638
197	157	636
198	157	634
199	158	632
200	158	630
201	159	628
202	159	627
203	160	625
204	160	624
205	164	634
206	165	632
207	165	631
208	166	630
209	167	628
210	167	627
211	168	626
212	169	624
213	169	622
214	170	620
215	170	619
216	171	617
217	171	615
218	172	613
219	172	611
220	173	609
221	173	608
222	174	606
223	174	604
224	175	603
225	175	601
226	176	599
227	177	602
228	179	604
229	180	603
230	180	602
231	181	601
232	182	599
233	182	598
234	183	596
235	183	594
236	184	593
237	184	591
238	185	590
239	185	588
240	186	587
241	186	585
242	187	583
243	187	582
244	188	580
245	188	579
246	189	577
247	190	576
248	190	574
249	191	573
250	194	581
251	195	580
252	196	578
253	196	577
